#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C4	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C8	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C15	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C20	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C24	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C34	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C40	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C43	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C45	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C46	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C52	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C53	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C62	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C67	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C75	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C86	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C99	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C100	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C107	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C116	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C120	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C122	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C123	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C145	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C154	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C160	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C171	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C180	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C181	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C186	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C187	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C192	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C194	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C207	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C209	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C210	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C218	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C234	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C236	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C239	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C240	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C243	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C246	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C262	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C264	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C267	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C275	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C276	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C281	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C284	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C286	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C289	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C297	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C303	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C308	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C312	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C314	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C320	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C325	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C335	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C353	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C354	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C355	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C362	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C366	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C372	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C377	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
RL|S1|C383	/home/jpolas20/Source/DCEC_project/DCEC/results/debug1/bins/0.fna
