#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C227	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C406	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C509	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C558	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C649	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C865	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1037	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1360	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1401	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1539	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1542	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1550	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1597	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1646	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1648	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1865	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1866	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2095	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2118	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2263	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2269	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2409	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2536	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2570	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2597	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2636	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2788	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2894	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2988	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3177	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3278	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3524	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3559	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3752	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3792	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3824	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3861	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3905	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3930	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3989	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4092	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4128	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4179	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4221	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4231	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4396	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4566	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4877	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4945	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
