#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C85	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C92	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C139	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C244	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C287	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C410	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C443	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C463	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C466	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C490	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C511	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C550	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C604	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C612	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C636	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C690	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C772	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C785	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C793	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C799	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C816	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C854	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C919	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C922	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C970	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C982	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1000	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1058	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1075	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1123	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1160	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1183	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1231	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1324	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1337	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1415	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1462	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1480	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1485	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1502	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1621	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1629	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1647	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1701	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1703	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1788	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1847	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1886	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1895	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1917	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C1976	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2017	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2080	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2121	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2200	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2270	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2299	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2344	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2404	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2411	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2440	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2473	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2530	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2569	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2584	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2588	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2626	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2675	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2790	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2842	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C2948	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3026	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3061	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3112	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3121	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3166	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3169	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3222	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3267	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3396	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3514	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3542	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3582	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3611	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3785	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3845	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3859	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C3967	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4035	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
RL|S1|C4045	/mnt/c/Python/Source/DCEC/results/debug1/bins/0.fna
