#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C60	output/metabat2/bins/metabat2.1.fa
RL|S1|C4500	output/metabat2/bins/metabat2.1.fa
RL|S1|C7010	output/metabat2/bins/metabat2.1.fa
RL|S1|C7474	output/metabat2/bins/metabat2.1.fa
RL|S1|C7565	output/metabat2/bins/metabat2.1.fa
RL|S1|C8001	output/metabat2/bins/metabat2.1.fa
RL|S1|C8023	output/metabat2/bins/metabat2.1.fa
RL|S1|C8602	output/metabat2/bins/metabat2.1.fa
RL|S1|C10438	output/metabat2/bins/metabat2.1.fa
RL|S1|C10727	output/metabat2/bins/metabat2.1.fa
RL|S1|C13979	output/metabat2/bins/metabat2.1.fa
RL|S1|C15238	output/metabat2/bins/metabat2.1.fa
RL|S1|C16600	output/metabat2/bins/metabat2.1.fa
RL|S1|C17673	output/metabat2/bins/metabat2.1.fa
RL|S1|C17	output/metabat2/bins/metabat2.10.fa
RL|S1|C23	output/metabat2/bins/metabat2.10.fa
RL|S1|C82	output/metabat2/bins/metabat2.10.fa
RL|S1|C92	output/metabat2/bins/metabat2.10.fa
RL|S1|C108	output/metabat2/bins/metabat2.10.fa
RL|S1|C178	output/metabat2/bins/metabat2.10.fa
RL|S1|C201	output/metabat2/bins/metabat2.10.fa
RL|S1|C214	output/metabat2/bins/metabat2.10.fa
RL|S1|C237	output/metabat2/bins/metabat2.10.fa
RL|S1|C244	output/metabat2/bins/metabat2.10.fa
RL|S1|C283	output/metabat2/bins/metabat2.10.fa
RL|S1|C292	output/metabat2/bins/metabat2.10.fa
RL|S1|C293	output/metabat2/bins/metabat2.10.fa
RL|S1|C295	output/metabat2/bins/metabat2.10.fa
RL|S1|C316	output/metabat2/bins/metabat2.10.fa
RL|S1|C384	output/metabat2/bins/metabat2.10.fa
RL|S1|C439	output/metabat2/bins/metabat2.10.fa
RL|S1|C444	output/metabat2/bins/metabat2.10.fa
RL|S1|C446	output/metabat2/bins/metabat2.10.fa
RL|S1|C447	output/metabat2/bins/metabat2.10.fa
RL|S1|C456	output/metabat2/bins/metabat2.10.fa
RL|S1|C462	output/metabat2/bins/metabat2.10.fa
RL|S1|C507	output/metabat2/bins/metabat2.10.fa
RL|S1|C519	output/metabat2/bins/metabat2.10.fa
RL|S1|C549	output/metabat2/bins/metabat2.10.fa
RL|S1|C596	output/metabat2/bins/metabat2.10.fa
RL|S1|C605	output/metabat2/bins/metabat2.10.fa
RL|S1|C612	output/metabat2/bins/metabat2.10.fa
RL|S1|C626	output/metabat2/bins/metabat2.10.fa
RL|S1|C629	output/metabat2/bins/metabat2.10.fa
RL|S1|C636	output/metabat2/bins/metabat2.10.fa
RL|S1|C675	output/metabat2/bins/metabat2.10.fa
RL|S1|C689	output/metabat2/bins/metabat2.10.fa
RL|S1|C690	output/metabat2/bins/metabat2.10.fa
RL|S1|C735	output/metabat2/bins/metabat2.10.fa
RL|S1|C739	output/metabat2/bins/metabat2.10.fa
RL|S1|C743	output/metabat2/bins/metabat2.10.fa
RL|S1|C747	output/metabat2/bins/metabat2.10.fa
RL|S1|C785	output/metabat2/bins/metabat2.10.fa
RL|S1|C790	output/metabat2/bins/metabat2.10.fa
RL|S1|C807	output/metabat2/bins/metabat2.10.fa
RL|S1|C854	output/metabat2/bins/metabat2.10.fa
RL|S1|C873	output/metabat2/bins/metabat2.10.fa
RL|S1|C884	output/metabat2/bins/metabat2.10.fa
RL|S1|C888	output/metabat2/bins/metabat2.10.fa
RL|S1|C931	output/metabat2/bins/metabat2.10.fa
RL|S1|C944	output/metabat2/bins/metabat2.10.fa
RL|S1|C950	output/metabat2/bins/metabat2.10.fa
RL|S1|C964	output/metabat2/bins/metabat2.10.fa
RL|S1|C977	output/metabat2/bins/metabat2.10.fa
RL|S1|C982	output/metabat2/bins/metabat2.10.fa
RL|S1|C1006	output/metabat2/bins/metabat2.10.fa
RL|S1|C1022	output/metabat2/bins/metabat2.10.fa
RL|S1|C1026	output/metabat2/bins/metabat2.10.fa
RL|S1|C1044	output/metabat2/bins/metabat2.10.fa
RL|S1|C1051	output/metabat2/bins/metabat2.10.fa
RL|S1|C1053	output/metabat2/bins/metabat2.10.fa
RL|S1|C1062	output/metabat2/bins/metabat2.10.fa
RL|S1|C1064	output/metabat2/bins/metabat2.10.fa
RL|S1|C1070	output/metabat2/bins/metabat2.10.fa
RL|S1|C1088	output/metabat2/bins/metabat2.10.fa
RL|S1|C1091	output/metabat2/bins/metabat2.10.fa
RL|S1|C1109	output/metabat2/bins/metabat2.10.fa
RL|S1|C1187	output/metabat2/bins/metabat2.10.fa
RL|S1|C1220	output/metabat2/bins/metabat2.10.fa
RL|S1|C1223	output/metabat2/bins/metabat2.10.fa
RL|S1|C1232	output/metabat2/bins/metabat2.10.fa
RL|S1|C1245	output/metabat2/bins/metabat2.10.fa
RL|S1|C1263	output/metabat2/bins/metabat2.10.fa
RL|S1|C1300	output/metabat2/bins/metabat2.10.fa
RL|S1|C1354	output/metabat2/bins/metabat2.10.fa
RL|S1|C1378	output/metabat2/bins/metabat2.10.fa
RL|S1|C1381	output/metabat2/bins/metabat2.10.fa
RL|S1|C1408	output/metabat2/bins/metabat2.10.fa
RL|S1|C1415	output/metabat2/bins/metabat2.10.fa
RL|S1|C1420	output/metabat2/bins/metabat2.10.fa
RL|S1|C1472	output/metabat2/bins/metabat2.10.fa
RL|S1|C1481	output/metabat2/bins/metabat2.10.fa
RL|S1|C1562	output/metabat2/bins/metabat2.10.fa
RL|S1|C1565	output/metabat2/bins/metabat2.10.fa
RL|S1|C1570	output/metabat2/bins/metabat2.10.fa
RL|S1|C1572	output/metabat2/bins/metabat2.10.fa
RL|S1|C1588	output/metabat2/bins/metabat2.10.fa
RL|S1|C1593	output/metabat2/bins/metabat2.10.fa
RL|S1|C1604	output/metabat2/bins/metabat2.10.fa
RL|S1|C1631	output/metabat2/bins/metabat2.10.fa
RL|S1|C1633	output/metabat2/bins/metabat2.10.fa
RL|S1|C1635	output/metabat2/bins/metabat2.10.fa
RL|S1|C1638	output/metabat2/bins/metabat2.10.fa
RL|S1|C1657	output/metabat2/bins/metabat2.10.fa
RL|S1|C1701	output/metabat2/bins/metabat2.10.fa
RL|S1|C1704	output/metabat2/bins/metabat2.10.fa
RL|S1|C1710	output/metabat2/bins/metabat2.10.fa
RL|S1|C1730	output/metabat2/bins/metabat2.10.fa
RL|S1|C1738	output/metabat2/bins/metabat2.10.fa
RL|S1|C1788	output/metabat2/bins/metabat2.10.fa
RL|S1|C1808	output/metabat2/bins/metabat2.10.fa
RL|S1|C1814	output/metabat2/bins/metabat2.10.fa
RL|S1|C1820	output/metabat2/bins/metabat2.10.fa
RL|S1|C1847	output/metabat2/bins/metabat2.10.fa
RL|S1|C1873	output/metabat2/bins/metabat2.10.fa
RL|S1|C1877	output/metabat2/bins/metabat2.10.fa
RL|S1|C1878	output/metabat2/bins/metabat2.10.fa
RL|S1|C1895	output/metabat2/bins/metabat2.10.fa
RL|S1|C1917	output/metabat2/bins/metabat2.10.fa
RL|S1|C1924	output/metabat2/bins/metabat2.10.fa
RL|S1|C1954	output/metabat2/bins/metabat2.10.fa
RL|S1|C1968	output/metabat2/bins/metabat2.10.fa
RL|S1|C1976	output/metabat2/bins/metabat2.10.fa
RL|S1|C1980	output/metabat2/bins/metabat2.10.fa
RL|S1|C1983	output/metabat2/bins/metabat2.10.fa
RL|S1|C2000	output/metabat2/bins/metabat2.10.fa
RL|S1|C2005	output/metabat2/bins/metabat2.10.fa
RL|S1|C2017	output/metabat2/bins/metabat2.10.fa
RL|S1|C2026	output/metabat2/bins/metabat2.10.fa
RL|S1|C2028	output/metabat2/bins/metabat2.10.fa
RL|S1|C2045	output/metabat2/bins/metabat2.10.fa
RL|S1|C2068	output/metabat2/bins/metabat2.10.fa
RL|S1|C2077	output/metabat2/bins/metabat2.10.fa
RL|S1|C2106	output/metabat2/bins/metabat2.10.fa
RL|S1|C2110	output/metabat2/bins/metabat2.10.fa
RL|S1|C2154	output/metabat2/bins/metabat2.10.fa
RL|S1|C2176	output/metabat2/bins/metabat2.10.fa
RL|S1|C2201	output/metabat2/bins/metabat2.10.fa
RL|S1|C2203	output/metabat2/bins/metabat2.10.fa
RL|S1|C2219	output/metabat2/bins/metabat2.10.fa
RL|S1|C2243	output/metabat2/bins/metabat2.10.fa
RL|S1|C2270	output/metabat2/bins/metabat2.10.fa
RL|S1|C2303	output/metabat2/bins/metabat2.10.fa
RL|S1|C2309	output/metabat2/bins/metabat2.10.fa
RL|S1|C2326	output/metabat2/bins/metabat2.10.fa
RL|S1|C2342	output/metabat2/bins/metabat2.10.fa
RL|S1|C2387	output/metabat2/bins/metabat2.10.fa
RL|S1|C2404	output/metabat2/bins/metabat2.10.fa
RL|S1|C2440	output/metabat2/bins/metabat2.10.fa
RL|S1|C2454	output/metabat2/bins/metabat2.10.fa
RL|S1|C2516	output/metabat2/bins/metabat2.10.fa
RL|S1|C2517	output/metabat2/bins/metabat2.10.fa
RL|S1|C2545	output/metabat2/bins/metabat2.10.fa
RL|S1|C2551	output/metabat2/bins/metabat2.10.fa
RL|S1|C2581	output/metabat2/bins/metabat2.10.fa
RL|S1|C2583	output/metabat2/bins/metabat2.10.fa
RL|S1|C2584	output/metabat2/bins/metabat2.10.fa
RL|S1|C2588	output/metabat2/bins/metabat2.10.fa
RL|S1|C2616	output/metabat2/bins/metabat2.10.fa
RL|S1|C2626	output/metabat2/bins/metabat2.10.fa
RL|S1|C2634	output/metabat2/bins/metabat2.10.fa
RL|S1|C2640	output/metabat2/bins/metabat2.10.fa
RL|S1|C2679	output/metabat2/bins/metabat2.10.fa
RL|S1|C2692	output/metabat2/bins/metabat2.10.fa
RL|S1|C2699	output/metabat2/bins/metabat2.10.fa
RL|S1|C2707	output/metabat2/bins/metabat2.10.fa
RL|S1|C2720	output/metabat2/bins/metabat2.10.fa
RL|S1|C2732	output/metabat2/bins/metabat2.10.fa
RL|S1|C2760	output/metabat2/bins/metabat2.10.fa
RL|S1|C2777	output/metabat2/bins/metabat2.10.fa
RL|S1|C2790	output/metabat2/bins/metabat2.10.fa
RL|S1|C2873	output/metabat2/bins/metabat2.10.fa
RL|S1|C2903	output/metabat2/bins/metabat2.10.fa
RL|S1|C2911	output/metabat2/bins/metabat2.10.fa
RL|S1|C2936	output/metabat2/bins/metabat2.10.fa
RL|S1|C2948	output/metabat2/bins/metabat2.10.fa
RL|S1|C2965	output/metabat2/bins/metabat2.10.fa
RL|S1|C2975	output/metabat2/bins/metabat2.10.fa
RL|S1|C2981	output/metabat2/bins/metabat2.10.fa
RL|S1|C2991	output/metabat2/bins/metabat2.10.fa
RL|S1|C3004	output/metabat2/bins/metabat2.10.fa
RL|S1|C3007	output/metabat2/bins/metabat2.10.fa
RL|S1|C3026	output/metabat2/bins/metabat2.10.fa
RL|S1|C3072	output/metabat2/bins/metabat2.10.fa
RL|S1|C3074	output/metabat2/bins/metabat2.10.fa
RL|S1|C3093	output/metabat2/bins/metabat2.10.fa
RL|S1|C3098	output/metabat2/bins/metabat2.10.fa
RL|S1|C3116	output/metabat2/bins/metabat2.10.fa
RL|S1|C3121	output/metabat2/bins/metabat2.10.fa
RL|S1|C3155	output/metabat2/bins/metabat2.10.fa
RL|S1|C3166	output/metabat2/bins/metabat2.10.fa
RL|S1|C3172	output/metabat2/bins/metabat2.10.fa
RL|S1|C3211	output/metabat2/bins/metabat2.10.fa
RL|S1|C3224	output/metabat2/bins/metabat2.10.fa
RL|S1|C3260	output/metabat2/bins/metabat2.10.fa
RL|S1|C3330	output/metabat2/bins/metabat2.10.fa
RL|S1|C3356	output/metabat2/bins/metabat2.10.fa
RL|S1|C3437	output/metabat2/bins/metabat2.10.fa
RL|S1|C3446	output/metabat2/bins/metabat2.10.fa
RL|S1|C3479	output/metabat2/bins/metabat2.10.fa
RL|S1|C3502	output/metabat2/bins/metabat2.10.fa
RL|S1|C3514	output/metabat2/bins/metabat2.10.fa
RL|S1|C3547	output/metabat2/bins/metabat2.10.fa
RL|S1|C3575	output/metabat2/bins/metabat2.10.fa
RL|S1|C3675	output/metabat2/bins/metabat2.10.fa
RL|S1|C3676	output/metabat2/bins/metabat2.10.fa
RL|S1|C3692	output/metabat2/bins/metabat2.10.fa
RL|S1|C3720	output/metabat2/bins/metabat2.10.fa
RL|S1|C3747	output/metabat2/bins/metabat2.10.fa
RL|S1|C3843	output/metabat2/bins/metabat2.10.fa
RL|S1|C3846	output/metabat2/bins/metabat2.10.fa
RL|S1|C3856	output/metabat2/bins/metabat2.10.fa
RL|S1|C3882	output/metabat2/bins/metabat2.10.fa
RL|S1|C3935	output/metabat2/bins/metabat2.10.fa
RL|S1|C3946	output/metabat2/bins/metabat2.10.fa
RL|S1|C3959	output/metabat2/bins/metabat2.10.fa
RL|S1|C3963	output/metabat2/bins/metabat2.10.fa
RL|S1|C3970	output/metabat2/bins/metabat2.10.fa
RL|S1|C3975	output/metabat2/bins/metabat2.10.fa
RL|S1|C3976	output/metabat2/bins/metabat2.10.fa
RL|S1|C3994	output/metabat2/bins/metabat2.10.fa
RL|S1|C3997	output/metabat2/bins/metabat2.10.fa
RL|S1|C4082	output/metabat2/bins/metabat2.10.fa
RL|S1|C4091	output/metabat2/bins/metabat2.10.fa
RL|S1|C4106	output/metabat2/bins/metabat2.10.fa
RL|S1|C4112	output/metabat2/bins/metabat2.10.fa
RL|S1|C4116	output/metabat2/bins/metabat2.10.fa
RL|S1|C4131	output/metabat2/bins/metabat2.10.fa
RL|S1|C4142	output/metabat2/bins/metabat2.10.fa
RL|S1|C4150	output/metabat2/bins/metabat2.10.fa
RL|S1|C4161	output/metabat2/bins/metabat2.10.fa
RL|S1|C4197	output/metabat2/bins/metabat2.10.fa
RL|S1|C4213	output/metabat2/bins/metabat2.10.fa
RL|S1|C4214	output/metabat2/bins/metabat2.10.fa
RL|S1|C4225	output/metabat2/bins/metabat2.10.fa
RL|S1|C4236	output/metabat2/bins/metabat2.10.fa
RL|S1|C4269	output/metabat2/bins/metabat2.10.fa
RL|S1|C4281	output/metabat2/bins/metabat2.10.fa
RL|S1|C4298	output/metabat2/bins/metabat2.10.fa
RL|S1|C4299	output/metabat2/bins/metabat2.10.fa
RL|S1|C4352	output/metabat2/bins/metabat2.10.fa
RL|S1|C4363	output/metabat2/bins/metabat2.10.fa
RL|S1|C4367	output/metabat2/bins/metabat2.10.fa
RL|S1|C4375	output/metabat2/bins/metabat2.10.fa
RL|S1|C4379	output/metabat2/bins/metabat2.10.fa
RL|S1|C4380	output/metabat2/bins/metabat2.10.fa
RL|S1|C4471	output/metabat2/bins/metabat2.10.fa
RL|S1|C4473	output/metabat2/bins/metabat2.10.fa
RL|S1|C4489	output/metabat2/bins/metabat2.10.fa
RL|S1|C4496	output/metabat2/bins/metabat2.10.fa
RL|S1|C4516	output/metabat2/bins/metabat2.10.fa
RL|S1|C4544	output/metabat2/bins/metabat2.10.fa
RL|S1|C4548	output/metabat2/bins/metabat2.10.fa
RL|S1|C4570	output/metabat2/bins/metabat2.10.fa
RL|S1|C4583	output/metabat2/bins/metabat2.10.fa
RL|S1|C4610	output/metabat2/bins/metabat2.10.fa
RL|S1|C4625	output/metabat2/bins/metabat2.10.fa
RL|S1|C4629	output/metabat2/bins/metabat2.10.fa
RL|S1|C4655	output/metabat2/bins/metabat2.10.fa
RL|S1|C4659	output/metabat2/bins/metabat2.10.fa
RL|S1|C4667	output/metabat2/bins/metabat2.10.fa
RL|S1|C4694	output/metabat2/bins/metabat2.10.fa
RL|S1|C4696	output/metabat2/bins/metabat2.10.fa
RL|S1|C4705	output/metabat2/bins/metabat2.10.fa
RL|S1|C4741	output/metabat2/bins/metabat2.10.fa
RL|S1|C4745	output/metabat2/bins/metabat2.10.fa
RL|S1|C4751	output/metabat2/bins/metabat2.10.fa
RL|S1|C4762	output/metabat2/bins/metabat2.10.fa
RL|S1|C4767	output/metabat2/bins/metabat2.10.fa
RL|S1|C4780	output/metabat2/bins/metabat2.10.fa
RL|S1|C4801	output/metabat2/bins/metabat2.10.fa
RL|S1|C4818	output/metabat2/bins/metabat2.10.fa
RL|S1|C4820	output/metabat2/bins/metabat2.10.fa
RL|S1|C4824	output/metabat2/bins/metabat2.10.fa
RL|S1|C4844	output/metabat2/bins/metabat2.10.fa
RL|S1|C4888	output/metabat2/bins/metabat2.10.fa
RL|S1|C4932	output/metabat2/bins/metabat2.10.fa
RL|S1|C4985	output/metabat2/bins/metabat2.10.fa
RL|S1|C5006	output/metabat2/bins/metabat2.10.fa
RL|S1|C5028	output/metabat2/bins/metabat2.10.fa
RL|S1|C5074	output/metabat2/bins/metabat2.10.fa
RL|S1|C5112	output/metabat2/bins/metabat2.10.fa
RL|S1|C5125	output/metabat2/bins/metabat2.10.fa
RL|S1|C5137	output/metabat2/bins/metabat2.10.fa
RL|S1|C5238	output/metabat2/bins/metabat2.10.fa
RL|S1|C5261	output/metabat2/bins/metabat2.10.fa
RL|S1|C5282	output/metabat2/bins/metabat2.10.fa
RL|S1|C5283	output/metabat2/bins/metabat2.10.fa
RL|S1|C5338	output/metabat2/bins/metabat2.10.fa
RL|S1|C5362	output/metabat2/bins/metabat2.10.fa
RL|S1|C5378	output/metabat2/bins/metabat2.10.fa
RL|S1|C5382	output/metabat2/bins/metabat2.10.fa
RL|S1|C5404	output/metabat2/bins/metabat2.10.fa
RL|S1|C5412	output/metabat2/bins/metabat2.10.fa
RL|S1|C5418	output/metabat2/bins/metabat2.10.fa
RL|S1|C5429	output/metabat2/bins/metabat2.10.fa
RL|S1|C5446	output/metabat2/bins/metabat2.10.fa
RL|S1|C5491	output/metabat2/bins/metabat2.10.fa
RL|S1|C5496	output/metabat2/bins/metabat2.10.fa
RL|S1|C5509	output/metabat2/bins/metabat2.10.fa
RL|S1|C5513	output/metabat2/bins/metabat2.10.fa
RL|S1|C5560	output/metabat2/bins/metabat2.10.fa
RL|S1|C5593	output/metabat2/bins/metabat2.10.fa
RL|S1|C5597	output/metabat2/bins/metabat2.10.fa
RL|S1|C5603	output/metabat2/bins/metabat2.10.fa
RL|S1|C5657	output/metabat2/bins/metabat2.10.fa
RL|S1|C5694	output/metabat2/bins/metabat2.10.fa
RL|S1|C5819	output/metabat2/bins/metabat2.10.fa
RL|S1|C5846	output/metabat2/bins/metabat2.10.fa
RL|S1|C5857	output/metabat2/bins/metabat2.10.fa
RL|S1|C5867	output/metabat2/bins/metabat2.10.fa
RL|S1|C5890	output/metabat2/bins/metabat2.10.fa
RL|S1|C5913	output/metabat2/bins/metabat2.10.fa
RL|S1|C5918	output/metabat2/bins/metabat2.10.fa
RL|S1|C5923	output/metabat2/bins/metabat2.10.fa
RL|S1|C5943	output/metabat2/bins/metabat2.10.fa
RL|S1|C5987	output/metabat2/bins/metabat2.10.fa
RL|S1|C6020	output/metabat2/bins/metabat2.10.fa
RL|S1|C6032	output/metabat2/bins/metabat2.10.fa
RL|S1|C6039	output/metabat2/bins/metabat2.10.fa
