#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C10	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1000	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10008	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10017	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10026	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10028	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10037	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1004	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10046	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10047	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1006	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10060	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10073	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10084	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10096	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10124	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10127	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1013	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10153	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10162	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10168	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10171	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10175	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10197	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10207	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1022	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10221	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10225	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10226	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10235	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10236	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10240	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10246	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10258	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10271	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10286	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10299	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10306	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10313	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10328	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10349	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10355	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10365	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10386	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10391	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10392	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10394	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10395	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10397	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10398	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10426	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10437	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1045	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10461	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10474	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1048	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10481	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10484	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10488	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10492	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10507	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1051	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10515	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1053	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10530	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10536	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10537	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10598	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10616	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1062	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10623	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10626	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10630	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1064	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10647	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10654	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10673	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10683	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1070	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10736	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10738	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1075	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10755	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10758	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10761	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10777	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C108	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10804	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10821	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10822	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10861	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10866	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10869	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10882	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10884	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10885	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10889	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10904	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1091	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10930	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10935	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10937	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10948	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10965	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10971	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C10991	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11022	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11026	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11047	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11053	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1107	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11075	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1109	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11102	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11103	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11141	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11144	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11156	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11158	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11212	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11221	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11226	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1123	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11255	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11262	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11325	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11336	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11348	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11350	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11361	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11365	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11375	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11386	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11392	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11396	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1140	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11404	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11406	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11418	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11433	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11449	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11470	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1148	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11483	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11498	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11513	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11521	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11534	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11537	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11544	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11545	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11546	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11558	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11570	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11571	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11572	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11577	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11582	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11585	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1160	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11600	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11606	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11614	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11618	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11621	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11634	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11642	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11660	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11678	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11681	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1169	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11708	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11710	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11740	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11742	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11785	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11797	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11799	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11801	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11811	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1183	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11844	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11854	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11862	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11873	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11905	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1193	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11934	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11937	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1194	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11947	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C1196	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11962	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11975	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11978	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C11992	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12011	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12017	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12032	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12035	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12048	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12072	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12075	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12077	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12078	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12091	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12097	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
RL|S1|C12102	output/solid_bin/bins/ori_result_0.bin_reclustered_0.bin
