#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C14362	output/vamb_depth/bins/10070.fna
RL|S1|C9940	output/vamb_depth/bins/10107.fna
RL|S1|C10930	output/vamb_depth/bins/10185.fna
RL|S1|C17456	output/vamb_depth/bins/10410.fna
RL|S1|C9895	output/vamb_depth/bins/106.fna
RL|S1|C7922	output/vamb_depth/bins/106.fna
RL|S1|C15571	output/vamb_depth/bins/106.fna
RL|S1|C15452	output/vamb_depth/bins/106.fna
RL|S1|C17860	output/vamb_depth/bins/106.fna
RL|S1|C5546	output/vamb_depth/bins/106.fna
RL|S1|C121	output/vamb_depth/bins/106.fna
RL|S1|C12353	output/vamb_depth/bins/106.fna
RL|S1|C9894	output/vamb_depth/bins/106.fna
RL|S1|C6795	output/vamb_depth/bins/106.fna
RL|S1|C17259	output/vamb_depth/bins/106.fna
RL|S1|C16258	output/vamb_depth/bins/106.fna
RL|S1|C17561	output/vamb_depth/bins/106.fna
RL|S1|C1907	output/vamb_depth/bins/106.fna
RL|S1|C16018	output/vamb_depth/bins/106.fna
RL|S1|C9766	output/vamb_depth/bins/106.fna
RL|S1|C12837	output/vamb_depth/bins/106.fna
RL|S1|C694	output/vamb_depth/bins/106.fna
RL|S1|C5197	output/vamb_depth/bins/106.fna
RL|S1|C5872	output/vamb_depth/bins/106.fna
RL|S1|C562	output/vamb_depth/bins/106.fna
RL|S1|C17415	output/vamb_depth/bins/106.fna
RL|S1|C703	output/vamb_depth/bins/106.fna
RL|S1|C18843	output/vamb_depth/bins/106.fna
RL|S1|C9330	output/vamb_depth/bins/106.fna
RL|S1|C13983	output/vamb_depth/bins/106.fna
RL|S1|C1409	output/vamb_depth/bins/106.fna
RL|S1|C8157	output/vamb_depth/bins/106.fna
RL|S1|C2330	output/vamb_depth/bins/106.fna
RL|S1|C11887	output/vamb_depth/bins/106.fna
RL|S1|C6546	output/vamb_depth/bins/106.fna
RL|S1|C15447	output/vamb_depth/bins/106.fna
RL|S1|C5748	output/vamb_depth/bins/106.fna
RL|S1|C795	output/vamb_depth/bins/106.fna
RL|S1|C15261	output/vamb_depth/bins/106.fna
RL|S1|C5208	output/vamb_depth/bins/106.fna
RL|S1|C6822	output/vamb_depth/bins/106.fna
RL|S1|C19174	output/vamb_depth/bins/106.fna
RL|S1|C9023	output/vamb_depth/bins/106.fna
RL|S1|C18700	output/vamb_depth/bins/106.fna
RL|S1|C4585	output/vamb_depth/bins/106.fna
RL|S1|C16820	output/vamb_depth/bins/106.fna
RL|S1|C9819	output/vamb_depth/bins/106.fna
RL|S1|C16110	output/vamb_depth/bins/106.fna
RL|S1|C2422	output/vamb_depth/bins/106.fna
RL|S1|C19312	output/vamb_depth/bins/106.fna
RL|S1|C11385	output/vamb_depth/bins/106.fna
RL|S1|C13458	output/vamb_depth/bins/106.fna
RL|S1|C8670	output/vamb_depth/bins/106.fna
RL|S1|C1152	output/vamb_depth/bins/106.fna
RL|S1|C7046	output/vamb_depth/bins/106.fna
RL|S1|C8453	output/vamb_depth/bins/106.fna
RL|S1|C16360	output/vamb_depth/bins/106.fna
RL|S1|C660	output/vamb_depth/bins/106.fna
RL|S1|C3281	output/vamb_depth/bins/106.fna
RL|S1|C1242	output/vamb_depth/bins/106.fna
RL|S1|C8943	output/vamb_depth/bins/106.fna
RL|S1|C14455	output/vamb_depth/bins/106.fna
RL|S1|C8160	output/vamb_depth/bins/106.fna
RL|S1|C4153	output/vamb_depth/bins/106.fna
