#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C131	output/vamb_bams/bins/1005.fna
RL|S1|C15078	output/vamb_bams/bins/1005.fna
RL|S1|C12612	output/vamb_bams/bins/1005.fna
RL|S1|C13529	output/vamb_bams/bins/1005.fna
RL|S1|C4624	output/vamb_bams/bins/1005.fna
RL|S1|C19311	output/vamb_bams/bins/1005.fna
RL|S1|C29	output/vamb_bams/bins/1005.fna
RL|S1|C18807	output/vamb_bams/bins/1005.fna
RL|S1|C18527	output/vamb_bams/bins/1005.fna
RL|S1|C12476	output/vamb_bams/bins/1005.fna
RL|S1|C8049	output/vamb_bams/bins/1005.fna
RL|S1|C8009	output/vamb_bams/bins/1005.fna
RL|S1|C18887	output/vamb_bams/bins/1005.fna
RL|S1|C9785	output/vamb_bams/bins/1005.fna
RL|S1|C17681	output/vamb_bams/bins/1005.fna
RL|S1|C9273	output/vamb_bams/bins/1005.fna
RL|S1|C13955	output/vamb_bams/bins/1005.fna
RL|S1|C10237	output/vamb_bams/bins/1005.fna
RL|S1|C9043	output/vamb_bams/bins/1005.fna
RL|S1|C5328	output/vamb_bams/bins/1005.fna
RL|S1|C5166	output/vamb_bams/bins/1005.fna
RL|S1|C13000	output/vamb_bams/bins/1005.fna
RL|S1|C2499	output/vamb_bams/bins/1005.fna
RL|S1|C12865	output/vamb_bams/bins/1005.fna
RL|S1|C7651	output/vamb_bams/bins/1005.fna
RL|S1|C2929	output/vamb_bams/bins/1005.fna
RL|S1|C5437	output/vamb_bams/bins/1005.fna
RL|S1|C294	output/vamb_bams/bins/1005.fna
RL|S1|C10071	output/vamb_bams/bins/1005.fna
RL|S1|C6556	output/vamb_bams/bins/1005.fna
RL|S1|C16400	output/vamb_bams/bins/1005.fna
RL|S1|C5363	output/vamb_bams/bins/1005.fna
RL|S1|C6681	output/vamb_bams/bins/1005.fna
RL|S1|C15616	output/vamb_bams/bins/1005.fna
RL|S1|C1410	output/vamb_bams/bins/1005.fna
RL|S1|C5630	output/vamb_bams/bins/1005.fna
RL|S1|C8005	output/vamb_bams/bins/1005.fna
RL|S1|C5025	output/vamb_bams/bins/1005.fna
RL|S1|C19023	output/vamb_bams/bins/1005.fna
RL|S1|C7333	output/vamb_bams/bins/1005.fna
RL|S1|C11486	output/vamb_bams/bins/1005.fna
RL|S1|C10990	output/vamb_bams/bins/1005.fna
RL|S1|C19102	output/vamb_bams/bins/1005.fna
RL|S1|C11816	output/vamb_bams/bins/1005.fna
RL|S1|C3754	output/vamb_bams/bins/1005.fna
RL|S1|C975	output/vamb_bams/bins/1005.fna
RL|S1|C9910	output/vamb_bams/bins/1005.fna
RL|S1|C610	output/vamb_bams/bins/1005.fna
RL|S1|C13117	output/vamb_bams/bins/1005.fna
RL|S1|C1694	output/vamb_bams/bins/1005.fna
RL|S1|C4820	output/vamb_bams/bins/1018.fna
RL|S1|C8210	output/vamb_bams/bins/1018.fna
RL|S1|C16292	output/vamb_bams/bins/1018.fna
RL|S1|C6085	output/vamb_bams/bins/1018.fna
RL|S1|C8152	output/vamb_bams/bins/1018.fna
RL|S1|C4197	output/vamb_bams/bins/1018.fna
RL|S1|C9099	output/vamb_bams/bins/1018.fna
RL|S1|C2732	output/vamb_bams/bins/1018.fna
RL|S1|C7686	output/vamb_bams/bins/1018.fna
RL|S1|C18278	output/vamb_bams/bins/1018.fna
RL|S1|C16702	output/vamb_bams/bins/1018.fna
RL|S1|C8427	output/vamb_bams/bins/1018.fna
RL|S1|C3846	output/vamb_bams/bins/1018.fna
RL|S1|C1983	output/vamb_bams/bins/1018.fna
RL|S1|C16736	output/vamb_bams/bins/1018.fna
RL|S1|C19388	output/vamb_bams/bins/1018.fna
RL|S1|C14242	output/vamb_bams/bins/1018.fna
RL|S1|C5758	output/vamb_bams/bins/1018.fna
RL|S1|C11572	output/vamb_bams/bins/1018.fna
RL|S1|C4548	output/vamb_bams/bins/1018.fna
RL|S1|C1502	output/vamb_bams/bins/1018.fna
RL|S1|C15067	output/vamb_bams/bins/1018.fna
RL|S1|C13319	output/vamb_bams/bins/1018.fna
RL|S1|C16527	output/vamb_bams/bins/1018.fna
RL|S1|C6503	output/vamb_bams/bins/1018.fna
RL|S1|C15215	output/vamb_bams/bins/1018.fna
RL|S1|C13749	output/vamb_bams/bins/1018.fna
RL|S1|C1588	output/vamb_bams/bins/1018.fna
RL|S1|C12184	output/vamb_bams/bins/1018.fna
RL|S1|C13235	output/vamb_bams/bins/1018.fna
RL|S1|C11282	output/vamb_bams/bins/1018.fna
RL|S1|C2975	output/vamb_bams/bins/1018.fna
RL|S1|C7119	output/vamb_bams/bins/1018.fna
RL|S1|C1064	output/vamb_bams/bins/1018.fna
RL|S1|C8976	output/vamb_bams/bins/1018.fna
RL|S1|C14724	output/vamb_bams/bins/1018.fna
RL|S1|C4836	output/vamb_bams/bins/1018.fna
RL|S1|C15869	output/vamb_bams/bins/1018.fna
RL|S1|C10104	output/vamb_bams/bins/1018.fna
RL|S1|C18698	output/vamb_bams/bins/1018.fna
RL|S1|C6270	output/vamb_bams/bins/1018.fna
RL|S1|C3575	output/vamb_bams/bins/1018.fna
RL|S1|C13491	output/vamb_bams/bins/1018.fna
RL|S1|C19232	output/vamb_bams/bins/1018.fna
RL|S1|C5513	output/vamb_bams/bins/1018.fna
RL|S1|C1572	output/vamb_bams/bins/1018.fna
RL|S1|C2517	output/vamb_bams/bins/1018.fna
RL|S1|C11962	output/vamb_bams/bins/1018.fna
RL|S1|C1472	output/vamb_bams/bins/1018.fna
RL|S1|C17013	output/vamb_bams/bins/1018.fna
RL|S1|C11200	output/vamb_bams/bins/1018.fna
RL|S1|C17267	output/vamb_bams/bins/1018.fna
RL|S1|C11571	output/vamb_bams/bins/1018.fna
RL|S1|C7216	output/vamb_bams/bins/1018.fna
RL|S1|C17826	output/vamb_bams/bins/1018.fna
RL|S1|C17888	output/vamb_bams/bins/1018.fna
RL|S1|C3843	output/vamb_bams/bins/1018.fna
RL|S1|C15323	output/vamb_bams/bins/1018.fna
RL|S1|C293	output/vamb_bams/bins/1018.fna
RL|S1|C10230	output/vamb_bams/bins/1018.fna
RL|S1|C16543	output/vamb_bams/bins/1018.fna
RL|S1|C8977	output/vamb_bams/bins/1018.fna
RL|S1|C18073	output/vamb_bams/bins/1018.fna
RL|S1|C15587	output/vamb_bams/bins/1018.fna
RL|S1|C17217	output/vamb_bams/bins/1018.fna
RL|S1|C13695	output/vamb_bams/bins/1018.fna
RL|S1|C9927	output/vamb_bams/bins/1018.fna
RL|S1|C9775	output/vamb_bams/bins/1018.fna
RL|S1|C3446	output/vamb_bams/bins/1018.fna
RL|S1|C12190	output/vamb_bams/bins/1018.fna
RL|S1|C2005	output/vamb_bams/bins/1018.fna
RL|S1|C4116	output/vamb_bams/bins/1018.fna
RL|S1|C18557	output/vamb_bams/bins/1018.fna
RL|S1|C8109	output/vamb_bams/bins/1018.fna
RL|S1|C19027	output/vamb_bams/bins/1018.fna
RL|S1|C18645	output/vamb_bams/bins/1018.fna
RL|S1|C16227	output/vamb_bams/bins/1018.fna
RL|S1|C13758	output/vamb_bams/bins/1018.fna
RL|S1|C5261	output/vamb_bams/bins/1018.fna
RL|S1|C8168	output/vamb_bams/bins/1018.fna
RL|S1|C11020	output/vamb_bams/bins/1018.fna
RL|S1|C4570	output/vamb_bams/bins/1018.fna
RL|S1|C10394	output/vamb_bams/bins/1018.fna
RL|S1|C12407	output/vamb_bams/bins/1018.fna
RL|S1|C12130	output/vamb_bams/bins/1018.fna
RL|S1|C10124	output/vamb_bams/bins/1018.fna
RL|S1|C4489	output/vamb_bams/bins/1018.fna
RL|S1|C11600	output/vamb_bams/bins/1018.fna
RL|S1|C12227	output/vamb_bams/bins/1018.fna
RL|S1|C3785	output/vamb_bams/bins/1018.fna
RL|S1|C18614	output/vamb_bams/bins/1120.fna
RL|S1|C16101	output/vamb_bams/bins/1120.fna
RL|S1|C7698	output/vamb_bams/bins/1120.fna
RL|S1|C2326	output/vamb_bams/bins/1120.fna
RL|S1|C6161	output/vamb_bams/bins/1120.fna
RL|S1|C2106	output/vamb_bams/bins/1120.fna
RL|S1|C10093	output/vamb_bams/bins/1120.fna
RL|S1|C7249	output/vamb_bams/bins/1120.fna
RL|S1|C17743	output/vamb_bams/bins/1120.fna
RL|S1|C6185	output/vamb_bams/bins/1120.fna
RL|S1|C13298	output/vamb_bams/bins/1120.fna
RL|S1|C6721	output/vamb_bams/bins/1120.fna
RL|S1|C14213	output/vamb_bams/bins/1120.fna
RL|S1|C11325	output/vamb_bams/bins/1120.fna
RL|S1|C4741	output/vamb_bams/bins/1120.fna
RL|S1|C7448	output/vamb_bams/bins/1120.fna
RL|S1|C19074	output/vamb_bams/bins/1120.fna
RL|S1|C11128	output/vamb_bams/bins/1120.fna
RL|S1|C19018	output/vamb_bams/bins/1120.fna
RL|S1|C8032	output/vamb_bams/bins/1120.fna
RL|S1|C10434	output/vamb_bams/bins/1120.fna
RL|S1|C7563	output/vamb_bams/bins/1120.fna
RL|S1|C16202	output/vamb_bams/bins/1120.fna
RL|S1|C4375	output/vamb_bams/bins/1120.fna
RL|S1|C2219	output/vamb_bams/bins/1120.fna
RL|S1|C11103	output/vamb_bams/bins/1120.fna
RL|S1|C6714	output/vamb_bams/bins/1120.fna
RL|S1|C8525	output/vamb_bams/bins/1120.fna
RL|S1|C14224	output/vamb_bams/bins/1120.fna
RL|S1|C6890	output/vamb_bams/bins/1120.fna
RL|S1|C5698	output/vamb_bams/bins/1120.fna
RL|S1|C6994	output/vamb_bams/bins/1120.fna
RL|S1|C5412	output/vamb_bams/bins/1120.fna
RL|S1|C2026	output/vamb_bams/bins/1120.fna
RL|S1|C3747	output/vamb_bams/bins/1120.fna
RL|S1|C15225	output/vamb_bams/bins/1120.fna
RL|S1|C15789	output/vamb_bams/bins/1120.fna
RL|S1|C17880	output/vamb_bams/bins/1120.fna
RL|S1|C15017	output/vamb_bams/bins/1120.fna
RL|S1|C7716	output/vamb_bams/bins/1120.fna
RL|S1|C9531	output/vamb_bams/bins/1120.fna
RL|S1|C7129	output/vamb_bams/bins/1120.fna
RL|S1|C17580	output/vamb_bams/bins/1120.fna
RL|S1|C4471	output/vamb_bams/bins/1120.fna
RL|S1|C4091	output/vamb_bams/bins/1120.fna
RL|S1|C8607	output/vamb_bams/bins/1120.fna
RL|S1|C2387	output/vamb_bams/bins/1120.fna
RL|S1|C8732	output/vamb_bams/bins/1120.fna
RL|S1|C19368	output/vamb_bams/bins/1120.fna
RL|S1|C12433	output/vamb_bams/bins/1120.fna
RL|S1|C15014	output/vamb_bams/bins/1120.fna
RL|S1|C7859	output/vamb_bams/bins/1122.fna
RL|S1|C14949	output/vamb_bams/bins/1122.fna
RL|S1|C8201	output/vamb_bams/bins/1122.fna
RL|S1|C10956	output/vamb_bams/bins/1122.fna
RL|S1|C379	output/vamb_bams/bins/1122.fna
RL|S1|C13323	output/vamb_bams/bins/1122.fna
RL|S1|C2904	output/vamb_bams/bins/1122.fna
RL|S1|C11228	output/vamb_bams/bins/1122.fna
RL|S1|C10999	output/vamb_bams/bins/1122.fna
RL|S1|C10902	output/vamb_bams/bins/1122.fna
RL|S1|C2398	output/vamb_bams/bins/1122.fna
RL|S1|C9182	output/vamb_bams/bins/1122.fna
RL|S1|C1523	output/vamb_bams/bins/1122.fna
RL|S1|C18120	output/vamb_bams/bins/1122.fna
RL|S1|C16768	output/vamb_bams/bins/1122.fna
RL|S1|C8671	output/vamb_bams/bins/1122.fna
RL|S1|C3281	output/vamb_bams/bins/118.fna
RL|S1|C15571	output/vamb_bams/bins/118.fna
RL|S1|C9819	output/vamb_bams/bins/118.fna
RL|S1|C7046	output/vamb_bams/bins/118.fna
RL|S1|C8670	output/vamb_bams/bins/118.fna
RL|S1|C4906	output/vamb_bams/bins/118.fna
RL|S1|C13983	output/vamb_bams/bins/118.fna
RL|S1|C17860	output/vamb_bams/bins/118.fna
RL|S1|C1242	output/vamb_bams/bins/118.fna
RL|S1|C13338	output/vamb_bams/bins/118.fna
RL|S1|C17259	output/vamb_bams/bins/118.fna
RL|S1|C8477	output/vamb_bams/bins/118.fna
RL|S1|C15261	output/vamb_bams/bins/118.fna
RL|S1|C2330	output/vamb_bams/bins/118.fna
RL|S1|C3003	output/vamb_bams/bins/118.fna
RL|S1|C15447	output/vamb_bams/bins/118.fna
RL|S1|C121	output/vamb_bams/bins/118.fna
RL|S1|C16410	output/vamb_bams/bins/118.fna
RL|S1|C199	output/vamb_bams/bins/118.fna
RL|S1|C562	output/vamb_bams/bins/118.fna
RL|S1|C7922	output/vamb_bams/bins/118.fna
RL|S1|C16354	output/vamb_bams/bins/118.fna
RL|S1|C14455	output/vamb_bams/bins/118.fna
RL|S1|C5872	output/vamb_bams/bins/118.fna
RL|S1|C16440	output/vamb_bams/bins/118.fna
RL|S1|C12353	output/vamb_bams/bins/118.fna
RL|S1|C9895	output/vamb_bams/bins/118.fna
RL|S1|C1907	output/vamb_bams/bins/118.fna
RL|S1|C5748	output/vamb_bams/bins/118.fna
RL|S1|C795	output/vamb_bams/bins/118.fna
RL|S1|C16360	output/vamb_bams/bins/118.fna
RL|S1|C703	output/vamb_bams/bins/118.fna
RL|S1|C11887	output/vamb_bams/bins/118.fna
RL|S1|C8453	output/vamb_bams/bins/118.fna
RL|S1|C11385	output/vamb_bams/bins/118.fna
RL|S1|C922	output/vamb_bams/bins/118.fna
RL|S1|C17591	output/vamb_bams/bins/118.fna
RL|S1|C7755	output/vamb_bams/bins/118.fna
RL|S1|C17273	output/vamb_bams/bins/118.fna
RL|S1|C1606	output/vamb_bams/bins/118.fna
RL|S1|C16258	output/vamb_bams/bins/118.fna
RL|S1|C8943	output/vamb_bams/bins/118.fna
RL|S1|C694	output/vamb_bams/bins/118.fna
RL|S1|C8184	output/vamb_bams/bins/118.fna
RL|S1|C9023	output/vamb_bams/bins/118.fna
RL|S1|C4512	output/vamb_bams/bins/118.fna
RL|S1|C2422	output/vamb_bams/bins/118.fna
RL|S1|C12837	output/vamb_bams/bins/118.fna
RL|S1|C9330	output/vamb_bams/bins/118.fna
RL|S1|C1152	output/vamb_bams/bins/118.fna
RL|S1|C16820	output/vamb_bams/bins/118.fna
RL|S1|C5229	output/vamb_bams/bins/118.fna
RL|S1|C10490	output/vamb_bams/bins/118.fna
RL|S1|C8157	output/vamb_bams/bins/118.fna
RL|S1|C5208	output/vamb_bams/bins/118.fna
RL|S1|C5820	output/vamb_bams/bins/118.fna
RL|S1|C4585	output/vamb_bams/bins/118.fna
RL|S1|C1409	output/vamb_bams/bins/118.fna
RL|S1|C6546	output/vamb_bams/bins/118.fna
RL|S1|C19174	output/vamb_bams/bins/118.fna
RL|S1|C5546	output/vamb_bams/bins/118.fna
RL|S1|C8160	output/vamb_bams/bins/118.fna
RL|S1|C18843	output/vamb_bams/bins/118.fna
RL|S1|C660	output/vamb_bams/bins/118.fna
RL|S1|C16110	output/vamb_bams/bins/118.fna
